model_family,report_file,baseline_eval_file,section_batch,question_set_source,count_scope_ids_raw,count_scope_ids,count_common_ids,count_missing_in_baseline,count_deduped_scope_ids,h2h_both_true,h2h_batch_only_true,h2h_baseline_only_true,h2h_both_false,chrf__batch,chrf__baseline,chrf__delta,column_alignment_score__batch,column_alignment_score__baseline,column_alignment_score__delta,exact_exec_match__batch,exact_exec_match__baseline,exact_exec_match__delta,f1__batch,f1__baseline,f1__delta,precision__batch,precision__baseline,precision__delta,pred_exec_ok__batch,pred_exec_ok__baseline,pred_exec_ok__delta,recall__batch,recall__baseline,recall__delta,rouge_l_f1__batch,rouge_l_f1__baseline,rouge_l_f1__delta,row_jaccard__batch,row_jaccard__baseline,row_jaccard__delta,sql_ast_similarity__batch,sql_ast_similarity__baseline,sql_ast_similarity__delta
gemma,eval_gemma27b_zero_shot_vs_method_batches.json,eval_gemma27b_zero_shot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,80,73,58,289,92.03379100729217,82.40710478857707,9.626686218715093,0.7973009657532153,0.7275962531720185,0.06970471258119681,0.306,0.276,0.02999999999999997,0.43240878400489074,0.3775387854677113,0.05486999853717944,0.48915972910713107,0.43152115117090606,0.05763857793622501,1.0,0.998,0.0020000000000000018,0.4341645612109767,0.3883714473207381,0.0457931138902386,0.9251490569978164,0.7866046432892019,0.13854441370861448,0.4061315042798422,0.3483060935162841,0.05782541076355807,0.8400549710484819,0.6179970859040599,0.22205788514442204
gemma,eval_gemma27b_zero_shot_vs_method_batches.json,eval_gemma27b_zero_shot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,213,276,229,782,92.61785228620586,84.07669105426228,8.541161231943576,0.8031656953684765,0.7581828335952082,0.04498286177326827,0.326,0.2946666666666667,0.031333333333333324,0.44481973701279715,0.399551280150781,0.04526845686201614,0.4745054093104156,0.43848878221564797,0.03601662709476766,1.0,0.9993333333333333,0.0006666666666667043,0.4552507806450992,0.4147344362945233,0.04051634435057594,0.9235168165527954,0.805560459294969,0.11795635725782638,0.4211546084904683,0.36790721155280576,0.05324739693766256,0.8621277593742438,0.5941617578435836,0.2679660015306602
qwen,eval_qwen3_30b_a3b_cot_vs_method_batches.json,eval_qwen3_30b_a3b_cot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,11,251,9,229,94.17902309858661,72.58850091413312,21.59052218445349,0.874897557997558,0.35759423044217686,0.5173033275553811,0.524,0.04,0.48400000000000004,0.6620382278896522,0.2717592454364632,0.390278982453189,0.6619099654280904,0.27432934403559406,0.3875806213924964,1.0,0.48,0.52,0.6797079620347164,0.27679314134939137,0.402914820685325,0.9424973665484299,0.7845905837471262,0.15790678280130366,0.640364676730788,0.22880901429704958,0.4115556624337384,0.9042132147313006,0.884128508003465,0.020084706727835577
qwen,eval_qwen3_30b_a3b_cot_vs_method_batches.json,eval_qwen3_30b_a3b_cot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,57,112,20,311,90.26387778240226,80.30002312514445,9.963854657257812,0.8152189291833754,0.44459751749096427,0.3706214116924111,0.338,0.154,0.18400000000000002,0.494371212897799,0.288173374430659,0.20619783846714002,0.5590679080015845,0.3202684170637952,0.23879949093778924,1.0,0.588,0.41200000000000003,0.4960573137999238,0.2873660642107221,0.2086912495892017,0.9050535787930024,0.8296996933244429,0.07535388546855948,0.4603723769339852,0.2580027371891637,0.20236963974482147,0.8415386887756082,0.8391082005583126,0.0024304882172956344
qwen,eval_qwen3_30b_a3b_cot_vs_method_batches.json,eval_qwen3_30b_a3b_cot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,64,119,22,295,91.30546504567481,80.25241657550828,11.05304847016653,0.8142525177194707,0.47637701526354304,0.3378755024559277,0.366,0.172,0.194,0.510651194996051,0.33211610419575993,0.17853509080029112,0.5705945435737102,0.3619313689397023,0.2086631746340079,1.0,0.622,0.378,0.5124599027385357,0.3399281726796049,0.1725317300589308,0.9221287407575746,0.8426338635569136,0.07949487720066095,0.4788116637859558,0.29672755793982564,0.18208410584613016,0.8449940180043625,0.8397728380446017,0.005221179959760791
qwen,eval_qwen3_30b_a3b_cot_vs_method_batches.json,eval_qwen3_30b_a3b_cot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,132,482,51,835,92.02189949985932,77.96490148056924,14.056998019290077,0.8347896683001347,0.42618958773222804,0.40860008056790664,0.4093333333333333,0.122,0.28733333333333333,0.5556868785945007,0.29734957468762735,0.2583373039068734,0.597190805667795,0.3188430433463639,0.27834776232143116,1.0,0.5633333333333334,0.43666666666666665,0.5627417261910587,0.3013624594132394,0.26137926677781925,0.9241479142477953,0.8209811864933184,0.10316672775447688,0.526516239150243,0.26117976980867963,0.2653364693415634,0.8635819738370905,0.8521396514992268,0.011442322337863686
qwen,eval_qwen3_30b_a3b_few_shot_vs_method_batches.json,eval_qwen3_30b_a3b_few_shot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,90,172,27,211,94.17902309858661,82.72925014145856,11.449772957128047,0.874897557997558,0.8115908647119561,0.0633066932856019,0.524,0.234,0.29000000000000004,0.6620382278896522,0.6301414105952928,0.031896817294359336,0.6619099654280904,0.6347131090450032,0.02719685638308722,1.0,1.0,0.0,0.6797079620347164,0.6573492863457344,0.022358675688981977,0.9424973665484299,0.8605268966049542,0.08197046994347568,0.640364676730788,0.5627359841555661,0.07762869257522187,0.9042132147313006,0.8414516363483124,0.06276157838298813
qwen,eval_qwen3_30b_a3b_few_shot_vs_method_batches.json,eval_qwen3_30b_a3b_few_shot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,98,71,29,302,90.26387778240226,83.51489599292485,6.748981789477412,0.8152189291833754,0.7634422300688664,0.051776699114508995,0.338,0.254,0.08400000000000002,0.494371212897799,0.455541840768719,0.03882937212908,0.5590679080015845,0.5300910837483142,0.028976824253270306,1.0,1.0,0.0,0.4960573137999238,0.46516098414415036,0.030896329655773436,0.9050535787930024,0.8553387112976811,0.04971486749532128,0.4603723769339852,0.40815002270331413,0.052222354230671064,0.8415386887756082,0.7798334271990774,0.06170526157653078
qwen,eval_qwen3_30b_a3b_few_shot_vs_method_batches.json,eval_qwen3_30b_a3b_few_shot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,108,75,32,285,91.30546504567481,82.89845299407988,8.407012051594933,0.8142525177194707,0.7662431228880168,0.048009394831453944,0.366,0.28,0.08599999999999997,0.510651194996051,0.50301122793603,0.0076399670600210134,0.5705945435737102,0.5571471679137951,0.01344737565991505,1.0,1.0,0.0,0.5124599027385357,0.5095203505060404,0.0029395522324953127,0.9221287407575746,0.8577286144668522,0.06440012629072234,0.4788116637859558,0.45443035439705803,0.024381309388897765,0.8449940180043625,0.7917771498347175,0.05321686816964499
qwen,eval_qwen3_30b_a3b_few_shot_vs_method_batches.json,eval_qwen3_30b_a3b_few_shot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,296,318,88,798,92.02189949985932,83.02532844967016,8.99657105018916,0.8347896683001347,0.7804254058896131,0.05436426241052161,0.4093333333333333,0.256,0.15333333333333332,0.5556868785945007,0.5295648264333472,0.026122052161153486,0.597190805667795,0.5739837869023708,0.023207018765424192,1.0,1.0,0.0,0.5627417261910587,0.5440102069986417,0.018731519192417,0.9241479142477953,0.858033532647861,0.06611438159993432,0.526516239150243,0.47510545375197943,0.0514107853982636,0.8635819738370905,0.804354071127369,0.05922790270972145
qwen,eval_qwen3_30b_a3b_zero_shot_vs_method_batches.json,eval_qwen3_30b_a3b_zero_shot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,99,163,48,190,94.17902309858661,82.58254266727312,11.596480431313495,0.874897557997558,0.7886260095028665,0.08627154849469143,0.524,0.294,0.23000000000000004,0.6620382278896522,0.5541237689412125,0.10791445894843965,0.6619099654280904,0.5612547322674861,0.10065523316060432,1.0,1.0,0.0,0.6797079620347164,0.581160481452449,0.09854748058226737,0.9424973665484299,0.8236179925848309,0.11887937396359893,0.640364676730788,0.4959767253388279,0.1443879513919601,0.9042132147313006,0.7410265094024991,0.16318670532880142
qwen,eval_qwen3_30b_a3b_zero_shot_vs_method_batches.json,eval_qwen3_30b_a3b_zero_shot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,93,76,38,293,90.26387778240226,82.22946361288045,8.03441416952181,0.8152189291833754,0.7499312850702491,0.06528764411312626,0.338,0.262,0.07600000000000001,0.494371212897799,0.42236277092254115,0.07200844197525785,0.5590679080015845,0.49221402571634715,0.06685388228523731,1.0,0.998,0.0020000000000000018,0.4960573137999238,0.424968073419841,0.0710892403800828,0.9050535787930024,0.8266182182804188,0.0784353605125836,0.4603723769339852,0.3799196203175373,0.0804527566164479,0.8415386887756082,0.7132386781598861,0.12830001061572216
qwen,eval_qwen3_30b_a3b_zero_shot_vs_method_batches.json,eval_qwen3_30b_a3b_zero_shot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,87,96,38,279,91.30546504567481,80.50744646908265,10.798018576592156,0.8142525177194707,0.7313938729191924,0.08285864480027827,0.366,0.25,0.11599999999999999,0.510651194996051,0.41908589391295364,0.0915653010830974,0.5705945435737102,0.46344310986852655,0.10715143370518365,1.0,0.998,0.0020000000000000018,0.5124599027385357,0.4288026379210011,0.0836572648175346,0.9221287407575746,0.8050853352554196,0.11704340550215497,0.4788116637859558,0.3763259215185137,0.10248574226744211,0.8449940180043625,0.7220050886901256,0.12298892931423688
qwen,eval_qwen3_30b_a3b_zero_shot_vs_method_batches.json,eval_qwen3_30b_a3b_zero_shot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,279,335,124,762,92.02189949985932,81.8261330669678,10.195766432891517,0.8347896683001347,0.7566503891641027,0.07813927913603202,0.4093333333333333,0.26866666666666666,0.14066666666666666,0.5556868785945007,0.4651908112589024,0.09049606733559834,0.597190805667795,0.50563728928412,0.09155351638367504,1.0,0.9986666666666667,0.0013333333333332975,0.5627417261910587,0.4783103975977638,0.08443132859329489,0.9241479142477953,0.8188125378005306,0.10533537644726465,0.526516239150243,0.4174074223916263,0.10910881675861672,0.8635819738370905,0.7254338413614188,0.1381481324756717
